intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
13.8888889,2.6099999999999997e-23,1.2600000000000001e-29,1.7800000000000002e-35
16.6666667,2.32e-18,5.7899999999999994e-24,3.21e-29
19.4444444,1.14e-14,1.13e-19,1.99e-24
22.2222222,7.7e-12,2.55e-16,1.21e-20
25.0,1.27e-09,1.2e-13,1.37e-17
27.7777778,7.35e-08,1.78e-11,4.44e-15
30.5555556,1.91e-06,1.07e-09,5.44e-13
33.3333333,2.66e-05,3.22e-08,3.1e-11
36.1111111,0.00022635,5.51e-07,9.55e-10
38.8888889,0.0012924,5.97e-06,1.78e-08
41.6666667,0.00533566,4.45e-05,2.19e-07
44.4444444,0.01687588,0.00024303,1.91e-06
47.2222222,0.04281987,0.00102065,1.24e-05
50.0,0.09048007,0.0034348,6.26e-05
52.7777778,0.16419635,0.0095736,0.00025513
55.5555556,0.26258339,0.02271251,0.00086409
69.4444444,0.80295469,0.30394992,0.04990928
83.3333333,0.98066586,0.7587862,0.33350442
