intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
13.88888889,2.6099999999999997e-23,1.2600000000000001e-29,1.7800000000000002e-35
16.66666667,2.32e-18,5.7899999999999994e-24,3.21e-29
19.44444444,1.14e-14,1.13e-19,1.99e-24
22.22222222,7.7e-12,2.55e-16,1.21e-20
25.0,1.27e-09,1.2e-13,1.37e-17
27.77777778,7.35e-08,1.78e-11,4.44e-15
30.55555556,1.91e-06,1.07e-09,5.44e-13
33.33333333,2.66e-05,3.22e-08,3.1e-11
36.11111111,0.00022635,5.51e-07,9.55e-10
38.88888889,0.001292397,5.97e-06,1.78e-08
41.66666667,0.005335658,4.45e-05,2.19e-07
44.44444444,0.016875884,0.000243032,1.91e-06
47.22222222,0.042819867,0.00102065,1.24e-05
50.0,0.090480065,0.003434796,6.26e-05
52.77777778,0.164196347,0.009573602,0.000255129
55.55555556,0.262583393,0.022712511,0.000864094
69.44444444,0.802954688,0.303949916,0.049909283
83.33333333,0.980665857,0.758786199,0.333504421
